,Frequency,dB,Phase
0,15500000.0,18.717988,-158.44029
1,16000000.0,18.8474751,-161.50423
2,16500000.0,18.9687738,-164.50861
3,17000000.0,19.0862694,-167.4733
4,17500000.0,19.2031746,-170.35669
5,18000000.0,19.3031073,-173.17075
6,18500000.0,19.4074898,-175.95763
7,19000000.0,19.50599,-178.74622
8,19500000.0,19.5962152,178.49684
9,20000000.0,19.6703548,175.71257
10,20500000.0,19.7287397,172.99684
11,21000000.0,19.7686148,170.41174
12,21500000.0,19.8048019,167.85094
13,22000000.0,19.8387527,165.38507
14,22500000.0,19.873148,162.92906
15,23000000.0,19.9048405,160.53105
16,23500000.0,19.9362135,158.17967
17,24000000.0,19.9736166,155.80556
18,24500000.0,20.000472000000002,153.47507
19,25000000.0,20.039879,151.23431
20,25500000.0,20.062171,148.94823
21,26000000.0,20.094368,146.7442
22,26500000.0,20.129443000000002,144.48402
23,27000000.0,20.154547,142.31122
24,27500000.0,20.188248,140.10075
25,28000000.0,20.21845,137.93388
26,28500000.0,20.249752,135.79028
27,29000000.0,20.270988,133.67709
28,29500000.0,20.304412,131.55109
29,30000000.0,20.328046,129.47102
30,30500000.0,20.347484,127.41147
31,31000000.0,20.410871999999998,125.02415
32,31500000.0,20.432729000000002,123.00836
33,32000000.0,20.467947000000002,120.91861
34,32500000.0,20.500642,118.8502
35,33000000.0,20.520048,116.76974
36,33500000.0,20.541424,114.77119
37,34000000.0,20.560302999999998,112.77581
38,34500000.0,20.581805,110.78155
39,35000000.0,20.601979999999998,108.87875
40,35500000.0,20.632154999999997,106.98462
41,36000000.0,20.659598000000003,105.02819
42,36500000.0,20.69043,103.09193
43,37000000.0,20.719247,101.04222
44,37500000.0,20.738731,99.016304
45,38000000.0,20.760481,96.992989
46,38500000.0,20.780426,95.047783
47,39000000.0,20.805826,93.136436
48,39500000.0,20.859504,91.212776
49,40000000.0,20.880737,89.285912
50,40500000.0,20.915039999999998,87.418373
51,41000000.0,20.941119999999998,85.544212
52,41500000.0,20.971133000000002,83.668533
53,42000000.0,20.99473,81.821251
54,42500000.0,21.024746,79.974289
55,43000000.0,21.056084,78.097832
56,43500000.0,21.086443,76.246201
57,44000000.0,21.107355,74.426445
58,44500000.0,21.132042,72.614876
59,45000000.0,21.158209,70.788315
60,45500000.0,21.184505,69.003166
61,46000000.0,21.211306,67.175529
62,46500000.0,21.23588,65.400406
63,47000000.0,21.267279000000002,63.634518
64,47500000.0,21.292389999999997,61.858402
65,48000000.0,21.321787999999998,60.073879
66,48500000.0,21.3477,58.303192
67,49000000.0,21.374351,56.562767
68,49500000.0,21.396777,54.790497
69,50000000.0,21.427776,53.049057
70,50500000.0,21.446852,51.351078
71,51000000.0,21.468080999999998,49.646381
72,51500000.0,21.493392999999998,47.932732
73,52000000.0,21.519145,46.250359
74,52500000.0,21.545929,44.531887
75,53000000.0,21.568006,42.831135
76,53500000.0,21.595924,41.130291
77,54000000.0,21.625909999999998,39.408173
78,54500000.0,21.651803,37.684277
79,55000000.0,21.675281,35.975418
80,55500000.0,21.705555,34.255665
81,56000000.0,21.730114,32.548889
82,56500000.0,21.772472,30.907614
83,57000000.0,21.790675,29.220287
84,57500000.0,21.816485999999998,27.519852
85,58000000.0,21.835724,25.826853
86,58500000.0,21.860799,24.194464
87,59000000.0,21.887411,22.50601
88,59500000.0,21.911469,20.855974
89,60000000.0,21.935848999999997,19.177649
90,60500000.0,21.954762000000002,17.52124
91,61000000.0,21.977415,15.869843
92,61500000.0,21.99946,14.231839
93,62000000.0,22.019069000000002,12.578504
94,62500000.0,22.040999,10.946295
95,63000000.0,22.061799,9.2604942
96,63500000.0,22.073858,7.6343374
97,64000000.0,22.093758,6.0111566
98,64500000.0,22.108784999999997,4.3982525
99,65000000.0,22.121594,2.7501197
100,65500000.0,22.140023,1.1553975
101,66000000.0,22.155478000000002,-0.45999008
102,66500000.0,22.173305,-2.068784
103,67000000.0,22.211015,-3.6902649
104,67500000.0,22.212934,-5.2781744
105,68000000.0,22.221539999999997,-6.8623891
106,68500000.0,22.233088000000002,-8.4666843
107,69000000.0,22.248071,-10.032969
108,69500000.0,22.260229000000002,-11.6327
109,70000000.0,22.268649,-13.228799
110,70500000.0,22.277603,-14.796306
111,71000000.0,22.284478999999997,-16.390219
112,71500000.0,22.298979,-17.959911
113,72000000.0,22.308095,-19.560617
114,72500000.0,22.315796,-21.117077
115,73000000.0,22.329391,-22.688204
116,73500000.0,22.337481,-24.286076
117,74000000.0,22.351782999999998,-25.859921
118,74500000.0,22.360804,-27.443474
119,75000000.0,22.371462,-29.001263
120,75500000.0,22.378675,-30.602287
121,76000000.0,22.382728999999998,-32.17474
122,76500000.0,22.384894,-33.746059
123,77000000.0,22.385880999999998,-35.295753
124,77500000.0,22.39434,-36.858814
125,78000000.0,22.397522000000002,-38.434456
126,78500000.0,22.419947,-39.986874
127,79000000.0,22.420666,-41.560947
128,79500000.0,22.420089,-43.100296
129,80000000.0,22.422933,-44.658787
130,80500000.0,22.423516,-46.226494
131,81000000.0,22.426212,-47.78027
132,81500000.0,22.443449,-49.316734
133,82000000.0,22.442658,-50.86338
134,82500000.0,22.44563,-52.405937
135,83000000.0,22.442825,-53.965004
136,83500000.0,22.445259,-55.508579
137,84000000.0,22.448202000000002,-57.055302
138,84500000.0,22.449492,-58.593292
139,85000000.0,22.447916,-60.147404
140,85500000.0,22.452104,-61.682755
141,86000000.0,22.451000999999998,-63.231434
142,86500000.0,22.451965,-64.784729
143,87000000.0,22.454083,-66.321175
144,87500000.0,22.451912,-67.876457
145,88000000.0,22.465383,-69.461433
146,88500000.0,22.459139,-70.974174
147,89000000.0,22.457466,-72.50824
148,89500000.0,22.452209,-74.056015
149,90000000.0,22.453465,-75.591858
150,90500000.0,22.45021,-77.131615
151,91000000.0,22.447412,-78.654831
152,91500000.0,22.446956,-80.189911
153,92000000.0,22.447982,-81.733894
154,92500000.0,22.444001999999998,-83.266945
155,93000000.0,22.447747,-84.80883
156,93500000.0,22.449181,-86.351997
157,94000000.0,22.463552999999997,-87.875832
158,94500000.0,22.460222,-89.41909
159,95000000.0,22.454859,-90.937752
160,95500000.0,22.450371,-92.471535
161,96000000.0,22.445348,-93.999741
162,96500000.0,22.442729999999997,-95.546562
163,97000000.0,22.439931,-97.07151
164,97500000.0,22.438418,-98.598892
165,98000000.0,22.439048,-100.1409
166,98500000.0,22.438762,-101.66457
167,99000000.0,22.437886,-103.20043
168,99500000.0,22.441001999999997,-104.7511
169,100000000.0,22.433869,-106.26895
170,100500000.0,22.445729999999998,-107.84907
171,101000000.0,22.431871,-109.37643
172,101500000.0,22.426814,-110.89349
173,102000000.0,22.420724999999997,-112.42544
